LOSS, 32583.844482421875, -32.09399461746216, 45.21875, 7.229608272114905, 4507, 191.0, 99, 32, 19819.232029020786, 0.49270159006118774, 63.53364181518555, 4.397433332376478
WIN , 29892.0, -45.146484375, 83.44023132324219, 7.816945606694561, 3824, 191.0, 145, 38, 66202.96848225594, -9.141268730163574, 90.3040542602539, 17.312491757912117
LOSS, 25330.45263671875, -41.9998779296875, 56.365867614746094, 13.83421771530243, 1831, 207.0, 277, 27, 58337.50284552574, 1.2817542552947998, 107.85948181152344, 31.86100646942968
LOSS, 25807.97119140625, -21.34002685546875, 58.250633239746094, 22.598923985469572, 1142, 175.0, 323, 26, 49523.639410972595, 13.849617958068848, 106.4075698852539, 43.36570876617565
WIN , 28882.0, -22.22826385498047, 56.312156677246094, 19.038892551087674, 1517, 191.0, 298, 25, 76521.38778305054, 23.361265182495117, 139.67318725585938, 50.44257599410055
LOSS, 24077.00732421875, -39.43897247314453, 64.4869155883789, 19.606683488777485, 1228, 191.0, 318, 19, 68656.59148168564, 3.9382433891296387, 124.55950164794922, 55.90927645088407
LOSS, 17399.965087890625, -23.4228515625, 60.559913635253906, 22.86460589735956, 761, 191.0, 349, 15, 44359.25707054138, 16.58408546447754, 137.14820861816406, 58.29074516496897
LOSS, 23185.97959136963, -34.0, 60.594017028808594, 18.72857802210794, 1238, 193.6999969482422, 317, 20, 79054.81156349182, 4.01923942565918, 127.41340637207031, 63.85687525322441
LOSS, 16975.608154296875, -16.441368103027344, 60.363685607910156, 31.49463479461387, 539, 223.0, 364, 13, 45865.86848640442, 26.135496139526367, 158.59747314453125, 85.09437567050912
WIN , 28076.718955993652, -18.859649658203125, 68.83021545410156, 28.076718955993652, 1000, 181.5620880126953, 333, 21, 86235.99830436707, 21.774324417114258, 159.0138702392578, 86.23599830436707
LOSS, 13920.777297973633, -16.366127014160156, 59.369117736816406, 23.960029772760127, 581, 183.52719116210938, 361, 22, 48425.9446849823, 25.957904815673828, 162.5584259033203, 83.34930238379053
LOSS, 14487.599998474121, -32.0001220703125, 67.0042953491211, 20.491654877615446, 707, 169.8000030517578, 352, 12, 56852.725215911865, 24.835126876831055, 157.18704223632812, 80.41403849492484
LOSS, 15293.563720703125, -19.0604248046875, 61.726585388183594, 31.663693003526138, 483, 191.0, 367, 13, 43278.35322189331, 37.11899185180664, 160.92153930664062, 89.60321578031741
LOSS, 11363.425537109375, -18.339996337890625, 61.86896514892578, 27.18522855767793, 418, 223.0, 372, 5, 35899.87004852295, 20.467416763305664, 166.71014404296875, 85.88485657541375
LOSS, 20340.315185546875, -17.35771942138672, 69.5561752319336, 26.381731758167152, 771, 223.0, 348, 17, 78664.72660255432, 22.34320068359375, 178.81326293945312, 102.02947678671119
WIN , 27112.0, -25.060791015625, 82.235107421875, 22.706867671691793, 1194, 191.0, 320, 26, 125773.2808971405, 13.084161758422852, 182.55238342285156, 105.33775619526006
LOSS, 11731.409301757812, -38.0, 65.04019927978516, 29.328523254394533, 400, 175.0, 373, 13, 46149.57303237915, 35.111412048339844, 194.4477081298828, 115.37393258094788
WIN , 27166.557502746582, -21.991493225097656, 61.89262390136719, 24.71934258666659, 1099, 141.88499450683594, 326, 29, 118037.84024238586, 16.383092880249023, 187.80477905273438, 107.4047681914339
LOSS, 22737.789794921875, -19.584136962890625, 68.7718734741211, 28.782012398635285, 790, 191.0, 347, 17, 89708.61120223999, 23.639570236206055, 183.3929443359375, 113.55520405346834
LOSS, -7801.107116699219, -36.546630859375, 57.82630920410156, -1.3004012529920352, 5999, 227.2142333984375, 0, 5, 507396.6995458603, 15.800738334655762, 186.83499145507812, 84.58021329319224
LOSS, 11778.11083984375, -16.7203369140625, 61.62109375, 36.80659637451172, 320, 191.0, 378, 9, 50332.91440200806, 36.90458679199219, 230.10215759277344, 157.29035750627517
LOSS, 16074.41064453125, -38.0, 64.5186538696289, 9.959362233290737, 1614, 223.0, 292, 21, 171169.21055078506, 3.187793254852295, 222.0227508544922, 106.05279464113077
LOSS, 10742.202514648438, -36.0, 64.3178482055664, 28.194757256295112, 381, 207.0, 374, 10, 59004.82828330994, 26.8367977142334, 236.35386657714844, 154.86831570422555
LOSS, 13989.155029296875, -17.58618927001953, 65.9322280883789, 31.721439975729876, 441, 207.0, 370, 11, 72854.29404067993, 33.56391525268555, 253.48019409179688, 165.20248081786832
LOSS, 5316.951232910156, -18.57642364501953, 63.604736328125, 15.592232354575238, 341, 223.0, 377, 3, 49470.267250061035, 46.21385955810547, 242.56890869140625, 145.07409750751037
LOSS, 14261.0, -19.72021484375, 64.8314437866211, 20.46054519368723, 697, 223.0, 353, 7, 102971.2479095459, 49.541168212890625, 237.44384765625, 147.73493243837288
LOSS, 16163.6796875, -17.87445831298828, 63.355323791503906, 37.0726598337156, 436, 191.0, 370, 16, 71847.85057067871, 63.729705810546875, 246.4264678955078, 164.78864809788695
LOSS, 18128.236083984375, -23.7188720703125, 60.524513244628906, 15.388994977915429, 1178, 175.0, 321, 18, 189587.352973938, 34.66343307495117, 244.36602783203125, 160.9400279914584
WIN , 26393.0, -21.34033203125, 79.56230163574219, 24.460611677479147, 1079, 169.0, 328, 30, 183361.5822906494, 35.52534103393555, 259.2954406738281, 169.9365915575991
LOSS, 6061.421081542969, -13.000030517578125, 61.945396423339844, 31.902216218647204, 190, 191.0, 387, 4, 32743.832275390625, 58.26274108886719, 254.5332489013672, 172.33595934416118
