WIN , 31956.802505493164, -37.776100158691406, 87.24454498291016, 7.321146049368423, 4365, 201.39498901367188, 108, 34, 20172.019388884306, -17.34111785888672, 74.35719299316406, 4.621310283822292
LOSS, 21582.229248046875, -43.999755859375, 55.332252502441406, 12.793259779518005, 1687, 223.0, 287, 23, 30984.048588871956, -24.64813804626465, 82.88724517822266, 18.366359566610527
LOSS, 4154.182373046875, -43.00006103515625, 51.839805603027344, 18.62862050693666, 223, 223.0, 385, 6, 5630.939326286316, -14.930951118469238, 79.84017944335938, 25.250848996799622
LOSS, 24950.0, -44.999755859375, 57.638771057128906, 16.479524438573314, 1514, 185.0, 299, 29, 38169.424386680126, -28.716764450073242, 89.3416748046875, 25.210980440343544
WIN , 28325.300003051758, -21.34033203125, 71.9832534790039, 25.89149908871276, 1094, 164.39999389648438, 327, 25, 50129.40081709623, -1.7626922130584717, 133.39596557617188, 45.82212140502398
WIN , 28280.753562927246, -23.002235412597656, 62.060447692871094, 23.805348116942127, 1188, 173.4928741455078, 320, 22, 59386.35468953848, -9.793688774108887, 134.1105194091797, 49.98851404843306
LOSS, 16943.8505859375, -42.999755859375, 58.967491149902344, 25.403074341735383, 667, 191.0, 355, 12, 35379.692484259605, -51.71009826660156, 135.40228271484375, 53.043017217780516
WIN , 27895.74871826172, -19.70868682861328, 84.107666015625, 27.784610277153106, 1004, 183.5025634765625, 333, 25, 60193.137422442436, -9.840486526489258, 138.58428955078125, 59.95332412593868
WIN , 27824.0, -22.793983459472656, 75.79345703125, 27.768463073852296, 1002, 207.0, 333, 28, 74021.0512124896, -10.458182334899902, 179.4085693359375, 73.87330460328305
LOSS, 15946.62939453125, -19.52875328063965, 62.968360900878906, 30.725682841100674, 519, 207.0, 365, 10, 42523.71580719948, -2.062276601791382, 179.29640197753906, 81.93394182504717
LOSS, 12757.265823364258, -14.475784301757812, 67.5676498413086, 41.96469020843506, 304, 167.89999389648438, 379, 8, 31351.8200340271, 40.77548599243164, 181.94287109375, 103.13098695403652
LOSS, 21823.069091796875, -18.408676147460938, 64.9422378540039, 30.78006924089827, 709, 223.0, 352, 13, 63516.768616855145, -3.960191249847412, 183.50604248046875, 89.58641553858271
WIN , 26986.28749847412, -21.391761779785156, 65.1024398803711, 34.68674485665054, 778, 122.42500305175781, 348, 13, 72810.39170718193, -13.793089866638184, 188.35987854003906, 93.58662173159631
WIN , 26332.0, -19.53308868408203, 77.02420806884766, 37.29745042492918, 706, 191.0, 352, 18, 72487.47807979584, 8.698965072631836, 189.3754119873047, 102.67348169942753
LOSS, 14398.6806640625, -16.583648681640625, 66.1666030883789, 39.8855420057133, 361, 223.0, 375, 5, 40281.58494567871, 33.23614501953125, 207.50083923339844, 111.58333779966402
LOSS, 8473.786888122559, -17.779939651489258, 67.4419174194336, 31.501066498596874, 269, 201.8000030517578, 382, 6, 31751.575406074524, 13.070877075195312, 219.97714233398438, 118.03559630510975
WIN , 26192.065948486328, -19.26934051513672, 67.3409194946289, 39.56505430284944, 662, 150.86810302734375, 355, 22, 91108.44430351257, 30.37407112121582, 225.94851684570312, 137.6260487968468
LOSS, 14788.7001953125, -14.038795471191406, 67.8761978149414, 34.63395830283958, 427, 223.0, 371, 10, 54882.1685962677, 18.843687057495117, 226.4664306640625, 128.52966884371827
LOSS, 21369.73193359375, -19.09491729736328, 67.66730499267578, 33.39020614624023, 640, 191.0, 357, 16, 78595.63021945953, -8.434053421020508, 236.71487426757812, 122.80567221790552
WIN , 26330.0, -20.100234985351562, 68.2344741821289, 35.92087312414734, 733, 175.0, 351, 18, 96881.4772529602, 15.063444137573242, 231.46876525878906, 132.17118315547094
LOSS, 8938.521606445312, -15.204170227050781, 67.2243423461914, 38.03626215508643, 235, 191.0, 384, 4, 33045.9823551178, 31.98244285583496, 229.02359008789062, 140.62120151113956
WIN , 24551.724098205566, -48.87175750732422, 84.30866241455078, 17.145058727797185, 1432, 151.5518035888672, 304, 18, 164232.9000096321, 7.23047399520874, 260.453369140625, 114.68777933633527
LOSS, 13817.20849609375, -38.0, 65.3432388305664, 31.546138118935502, 438, 223.0, 370, 11, 67846.48019981384, -59.557559967041016, 266.35467529296875, 154.9006397256024
LOSS, 20385.65000152588, -19.93084716796875, 69.0065689086914, 41.603367350052814, 490, 193.6999969482422, 367, 14, 83254.88927793503, 5.931071758270264, 268.6519470214844, 169.90793730190822
LOSS, 9799.599998474121, -19.153331756591797, 90.98014068603516, 29.968195713988138, 327, 185.8000030517578, 378, 6, 48354.075887680054, 22.343475341796875, 261.2635498046875, 147.8717917054436
LOSS, 8411.0, -17.437076568603516, 65.1894302368164, 29.20486111111111, 288, 223.0, 380, 8, 43718.26809883118, 30.792173385620117, 263.0308837890625, 151.79954200983047
LOSS, 13435.578857421875, -40.9998779296875, 64.6712417602539, 30.74503171034754, 437, 175.5, 370, 8, 67553.28039169312, -86.574462890625, 261.9974670410156, 154.58416565604833
WIN , 26724.0, -18.108551025390625, 68.3360824584961, 32.59024390243903, 820, 207.0, 345, 25, 130450.73706626892, 20.092041015625, 272.0400390625, 159.0862647149621
LOSS, 5902.245849609375, -13.27532958984375, 69.53046417236328, 31.73250456779234, 186, 207.0, 387, 4, 28528.53441810608, 26.814393997192383, 266.73236083984375, 153.37921730164558
WIN , 26255.32250213623, -18.576988220214844, 78.76429748535156, 30.38810474784286, 864, 144.35499572753906, 342, 25, 136987.67200565338, 7.601069450378418, 301.4095458984375, 158.55054630283956
